name,description,signature,url
"cupy.isclose","Returns a boolean array where two arrays are equal within a tolerance.","cupy.isclose(a\, b\, rtol=1e-05\, atol=1e-08\, equal_nan=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isclose.html#cupy.isclose"
"cupy.iscomplex","Returns a bool array\, where True if input element is complex.","cupy.iscomplex(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.iscomplex.html#cupy.iscomplex"
"cupy.iscomplexobj","Check for a complex type or an array of complex numbers.","cupy.iscomplexobj(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.iscomplexobj.html#cupy.iscomplexobj"
"cupy.isfinite = <ufunc 'cupy_isfinite'>","Tests finiteness elementwise.","cupy.isfinite = <ufunc 'cupy_isfinite'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isfinite.html#cupy.isfinite"
"cupy.isfortran","Returns True if the array is Fortran contiguous but not C contiguous.","cupy.isfortran(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isfortran.html#cupy.isfortran"
"cupy.isin","Calculates element in test_elements\, broadcasting over element only. Returns a boolean array of the same shape as element that is True where an element of element is in test_elements and False otherwise.","cupy.isin(element\, test_elements\, assume_unique=False\, invert=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isin.html#cupy.isin"
"cupy.isinf = <ufunc 'cupy_isinf'>","Tests if each element is the positive or negative infinity.","cupy.isinf = <ufunc 'cupy_isinf'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isinf.html#cupy.isinf"
"cupy.isnan = <ufunc 'cupy_isnan'>","Tests if each element is a NaN.","cupy.isnan = <ufunc 'cupy_isnan'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isnan.html#cupy.isnan"
"cupy.isreal","Returns a bool array\, where True if input element is real.","cupy.isreal(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isreal.html#cupy.isreal"
"cupy.isrealobj","Return True if x is a not complex type or an array of complex numbers.","cupy.isrealobj(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isrealobj.html#cupy.isrealobj"
"cupy.isscalar","Returns True if the type of num is a scalar type.","cupy.isscalar(num)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.isscalar.html#cupy.isscalar"
"cupy.ix_","Construct an open mesh from multiple sequences.","cupy.ix_(*args)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ix_.html#cupy.ix_"
"cupy.kron","Returns the kronecker product of two arrays.","cupy.kron(a\, b)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.kron.html#cupy.kron"
"cupy.ldexp = <ufunc 'cupy_ldexp'>","Computes x1 * 2 ** x2 elementwise.","cupy.ldexp = <ufunc 'cupy_ldexp'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ldexp.html#cupy.ldexp"
"cupy.left_shift = <ufunc 'cupy_left_shift'>","Shifts the bits of each integer element to the left.","cupy.left_shift = <ufunc 'cupy_left_shift'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.left_shift.html#cupy.left_shift"
"cupy.less = <ufunc 'cupy_less'>","Tests elementwise if x1 < x2.","cupy.less = <ufunc 'cupy_less'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.less.html#cupy.less"
"cupy.less_equal = <ufunc 'cupy_less_equal'>","Tests elementwise if x1 <= x2.","cupy.less_equal = <ufunc 'cupy_less_equal'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.less_equal.html#cupy.less_equal"
"cupy.lexsort","Perform an indirect sort using an array of keys.","cupy.lexsort(keys)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.lexsort.html#cupy.lexsort"
"cupy.lib.stride_tricks.as_strided","Create a view into the array with the given shape and strides.","cupy.lib.stride_tricks.as_strided(x\, shape=None\, strides=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.lib.stride_tricks.as_strided.html#cupy.lib.stride_tricks.as_strided"
"cupy.linalg.cholesky","Cholesky decomposition.","cupy.linalg.cholesky(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.cholesky.html#cupy.linalg.cholesky"
"cupy.linalg.det","Retruns the deteminant of an array.","cupy.linalg.det(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.det.html#cupy.linalg.det"
"cupy.linalg.eigh","Eigenvalues and eigenvectors of a symmetric matrix.","cupy.linalg.eigh(a\, UPLO='L')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.eigh.html#cupy.linalg.eigh"
"cupy.linalg.eigvalsh","Calculates eigenvalues of a symmetric matrix.","cupy.linalg.eigvalsh(a\, UPLO='L')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.eigvalsh.html#cupy.linalg.eigvalsh"
"cupy.linalg.lstsq","Return the least-squares solution to a linear matrix equation.","cupy.linalg.lstsq(a\, b\, rcond=1e-15)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.lstsq.html#cupy.linalg.lstsq"
"cupy.linalg.matrix_power","Raise a square matrix to the (integer) power n.","cupy.linalg.matrix_power(M\, n)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.matrix_power.html#cupy.linalg.matrix_power"
"cupy.linalg.matrix_rank","Return matrix rank of array using SVD method","cupy.linalg.matrix_rank(M\, tol=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.matrix_rank.html#cupy.linalg.matrix_rank"
"cupy.linalg.norm","Returns one of matrix norms specified by ord parameter.","cupy.linalg.norm(x\, ord=None\, axis=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.norm.html#cupy.linalg.norm"
"cupy.linalg.pinv","Compute the Moore-Penrose pseudoinverse of a matrix.","cupy.linalg.pinv(a\, rcond=1e-15)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.pinv.html#cupy.linalg.pinv"
"cupy.linalg.qr","QR decomposition.","cupy.linalg.qr(a\, mode='reduced')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.qr.html#cupy.linalg.qr"
"cupy.linalg.slogdet","Returns sign and logarithm of the determinant of an array.","cupy.linalg.slogdet(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.slogdet.html#cupy.linalg.slogdet"
"cupy.linalg.solve","Solves a linear matrix equation.","cupy.linalg.solve(a\, b)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.solve.html#cupy.linalg.solve"
"cupy.linalg.svd","Singular Value Decomposition.","cupy.linalg.svd(a\, full_matrices=True\, compute_uv=True)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.svd.html#cupy.linalg.svd"
"cupy.linalg.tensorinv","Computes the inverse of a tensor.","cupy.linalg.tensorinv(a\, ind=2)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.tensorinv.html#cupy.linalg.tensorinv"
"cupy.linalg.tensorsolve","Solves tensor equations denoted by ax = b.","cupy.linalg.tensorsolve(a\, b\, axes=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linalg.tensorsolve.html#cupy.linalg.tensorsolve"
"cupy.linspace","Returns an array with evenly-spaced values within a given interval.","cupy.linspace(start\, stop\, num=50\, endpoint=True\, retstep=False\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.linspace.html#cupy.linspace"
"cupy.load","Loads arrays or pickled objects from .npy\, .npz or pickled file.","cupy.load(file\, mmap_mode=None\, allow_pickle=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.load.html#cupy.load"
"cupy.log = <ufunc 'cupy_log'>","Elementwise natural logarithm function.","cupy.log = <ufunc 'cupy_log'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.log.html#cupy.log"
"cupy.log10 = <ufunc 'cupy_log10'>","Elementwise common logarithm function.","cupy.log10 = <ufunc 'cupy_log10'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.log10.html#cupy.log10"
"cupy.log1p = <ufunc 'cupy_log1p'>","Computes log(1 + x) elementwise.","cupy.log1p = <ufunc 'cupy_log1p'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.log1p.html#cupy.log1p"
"cupy.log2 = <ufunc 'cupy_log2'>","Elementwise binary logarithm function.","cupy.log2 = <ufunc 'cupy_log2'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.log2.html#cupy.log2"
"cupy.logaddexp = <ufunc 'cupy_logaddexp'>","Computes log(exp(x1) + exp(x2)) elementwise.","cupy.logaddexp = <ufunc 'cupy_logaddexp'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.logaddexp.html#cupy.logaddexp"
"cupy.logaddexp2 = <ufunc 'cupy_logaddexp2'>","Computes log2(exp2(x1) + exp2(x2)) elementwise.","cupy.logaddexp2 = <ufunc 'cupy_logaddexp2'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.logaddexp2.html#cupy.logaddexp2"
"cupy.logical_and = <ufunc 'cupy_logical_and'>","Computes the logical AND of two arrays.","cupy.logical_and = <ufunc 'cupy_logical_and'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.logical_and.html#cupy.logical_and"
"cupy.logical_not = <ufunc 'cupy_logical_not'>","Computes the logical NOT of an array.","cupy.logical_not = <ufunc 'cupy_logical_not'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.logical_not.html#cupy.logical_not"
"cupy.logical_or = <ufunc 'cupy_logical_or'>","Computes the logical OR of two arrays.","cupy.logical_or = <ufunc 'cupy_logical_or'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.logical_or.html#cupy.logical_or"
"cupy.logical_xor = <ufunc 'cupy_logical_xor'>","Computes the logical XOR of two arrays.","cupy.logical_xor = <ufunc 'cupy_logical_xor'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.logical_xor.html#cupy.logical_xor"
"cupy.logspace","Returns an array with evenly-spaced values on a log-scale.","cupy.logspace(start\, stop\, num=50\, endpoint=True\, base=10.0\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.logspace.html#cupy.logspace"
"cupy.matmul","Returns the matrix product of two arrays and is the implementation of the @ operator introduced in Python 3.5 following PEP465.","cupy.matmul(ndarray a\, ndarray b\, ndarray out=None) → ndarray","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.matmul.html#cupy.matmul"
"cupy.maximum = <ufunc 'cupy_maximum'>","Takes the maximum of two arrays elementwise.","cupy.maximum = <ufunc 'cupy_maximum'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.maximum.html#cupy.maximum"
"cupy.mean","Returns the arithmetic mean along an axis.","cupy.mean(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.mean.html#cupy.mean"
"cupy.memoize","Makes a function memoizing the result for each argument and device.","cupy.memoize(bool for_each_device=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.memoize.html#cupy.memoize"
"cupy.meshgrid","Return coordinate matrices from coordinate vectors.","cupy.meshgrid(*xi\, **kwargs)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.meshgrid.html#cupy.meshgrid"
"cupy.minimum = <ufunc 'cupy_minimum'>","Takes the minimum of two arrays elementwise.","cupy.minimum = <ufunc 'cupy_minimum'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.minimum.html#cupy.minimum"
"cupy.mod = <ufunc 'cupy_remainder'>","Computes the remainder of Python division elementwise.","cupy.mod = <ufunc 'cupy_remainder'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.mod.html#cupy.mod"
"cupy.modf = <ufunc 'cupy_modf'>","Extracts the fractional and integral parts of an array elementwise.","cupy.modf = <ufunc 'cupy_modf'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.modf.html#cupy.modf"
"cupy.moveaxis","Moves axes of an array to new positions.","cupy.moveaxis(a\, source\, destination)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.moveaxis.html#cupy.moveaxis"
"cupy.msort","Returns a copy of an array sorted along the first axis.","cupy.msort(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.msort.html#cupy.msort"
"cupy.multiply = <ufunc 'cupy_multiply'>","Multiplies two arrays elementwise.","cupy.multiply = <ufunc 'cupy_multiply'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.multiply.html#cupy.multiply"
"cupy.nan_to_num = <ufunc 'cupy_nan_to_num'>","Elementwise nan_to_num function.","cupy.nan_to_num = <ufunc 'cupy_nan_to_num'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nan_to_num.html#cupy.nan_to_num"
"cupy.nanargmax","Return the indices of the maximum values in the specified axis ignoring NaNs. For all-NaN slice -1 is returned. Subclass cannot be passed yet\, subok=True still unsupported","cupy.nanargmax(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nanargmax.html#cupy.nanargmax"
"cupy.nanargmin","Return the indices of the minimum values in the specified axis ignoring NaNs. For all-NaN slice -1 is returned. Subclass cannot be passed yet\, subok=True still unsupported","cupy.nanargmin(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nanargmin.html#cupy.nanargmin"
"cupy.nanmax","Returns the maximum of an array along an axis ignoring NaN.","cupy.nanmax(a\, axis=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nanmax.html#cupy.nanmax"
"cupy.nanmean","Returns the arithmetic mean along an axis ignoring NaN values.","cupy.nanmean(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nanmean.html#cupy.nanmean"
"cupy.nanmin","Returns the minimum of an array along an axis ignoring NaN.","cupy.nanmin(a\, axis=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nanmin.html#cupy.nanmin"
"cupy.nanprod","Returns the product of an array along given axes treating Not a Numbers (NaNs) as zero.","cupy.nanprod(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nanprod.html#cupy.nanprod"
"cupy.nanstd","Returns the standard deviation along an axis ignoring NaN values.","cupy.nanstd(a\, axis=None\, dtype=None\, out=None\, ddof=0\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nanstd.html#cupy.nanstd"
"cupy.nansum","Returns the sum of an array along given axes treating Not a Numbers (NaNs) as zero.","cupy.nansum(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nansum.html#cupy.nansum"
"cupy.nanvar","Returns the variance along an axis ignoring NaN values.","cupy.nanvar(a\, axis=None\, dtype=None\, out=None\, ddof=0\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nanvar.html#cupy.nanvar"
"cupy.negative = <ufunc 'cupy_negative'>","Takes numerical negative elementwise.","cupy.negative = <ufunc 'cupy_negative'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.negative.html#cupy.negative"
"cupy.nextafter = <ufunc 'cupy_nextafter'>","Computes the nearest neighbor float values towards the second argument.","cupy.nextafter = <ufunc 'cupy_nextafter'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nextafter.html#cupy.nextafter"
"cupy.nonzero","Return the indices of the elements that are non-zero.","cupy.nonzero(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.nonzero.html#cupy.nonzero"
"cupy.not_equal = <ufunc 'cupy_not_equal'>","Tests elementwise if x1 != x2.","cupy.not_equal = <ufunc 'cupy_not_equal'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.not_equal.html#cupy.not_equal"
"cupy.ones","Returns a new array of given shape and dtype\, filled with ones.","cupy.ones(shape\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ones.html#cupy.ones"
"cupy.ones_like","Returns an array of ones with same shape and dtype as a given array.","cupy.ones_like(a\, dtype=None\, order='K'\, subok=None\, shape=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ones_like.html#cupy.ones_like"
"cupy.outer","Returns the outer product of two vectors.","cupy.outer(a\, b\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.outer.html#cupy.outer"
"cupy.packbits","Packs the elements of a binary-valued array into bits in a uint8 array.","cupy.packbits(myarray)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.packbits.html#cupy.packbits"
"cupy.pad","Pads an array with specified widths and values.","cupy.pad(array\, pad_width\, mode='constant'\, **kwargs)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.pad.html#cupy.pad"
"cupy.partition","Returns a partitioned copy of an array.","cupy.partition(a\, kth\, axis=-1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.partition.html#cupy.partition"
"cupy.percentile","Computes the q-th percentile of the data along the specified axis.","cupy.percentile(a\, q\, axis=None\, out=None\, interpolation='linear'\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.percentile.html#cupy.percentile"
"cupy.place","Change elements of an array based on conditional and input values.","cupy.place(arr\, mask\, vals)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.place.html#cupy.place"
"cupy.power = <ufunc 'cupy_power'>","Computes x1 ** x2 elementwise.","cupy.power = <ufunc 'cupy_power'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.power.html#cupy.power"
"cupy.prod","Returns the product of an array along given axes.","cupy.prod(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.prod.html#cupy.prod"
"cupy.prof.time_range","A context manager to describe the enclosed block as a nested range","cupy.prof.time_range(message\, color_id=None\, argb_color=None\, sync=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.prof.time_range.html#cupy.prof.time_range"
"cupy.put","Replaces specified elements of an array with given values.","cupy.put(a\, ind\, v\, mode='wrap')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.put.html#cupy.put"
"cupy.rad2deg = <ufunc 'cupy_rad2deg'>","Converts angles from radians to degrees elementwise.","cupy.rad2deg = <ufunc 'cupy_rad2deg'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.rad2deg.html#cupy.rad2deg"
"cupy.radians = <ufunc 'cupy_deg2rad'>","Converts angles from degrees to radians elementwise.","cupy.radians = <ufunc 'cupy_deg2rad'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.radians.html#cupy.radians"
"cupy.random.beta","Beta distribution.","cupy.random.beta(a\, b\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.beta.html#cupy.random.beta"
"cupy.random.binomial","Binomial distribution.","cupy.random.binomial(n\, p\, size=None\, dtype=<class 'int'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.binomial.html#cupy.random.binomial"
"cupy.random.bytes","Returns random bytes.","cupy.random.bytes(length)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.bytes.html#cupy.random.bytes"
"cupy.random.chisquare","Chi-square distribution.","cupy.random.chisquare(df\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.chisquare.html#cupy.random.chisquare"
"cupy.random.choice","Returns an array of random values from a given 1-D array.","cupy.random.choice(a\, size=None\, replace=True\, p=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.choice.html#cupy.random.choice"
"cupy.random.dirichlet","Dirichlet distribution.","cupy.random.dirichlet(alpha\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.dirichlet.html#cupy.random.dirichlet"
"cupy.random.exponential","Exponential distribution.","cupy.random.exponential(scale\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.exponential.html#cupy.random.exponential"
"cupy.random.f","F distribution.","cupy.random.f(dfnum\, dfden\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.f.html#cupy.random.f"
"cupy.random.gamma","Gamma distribution.","cupy.random.gamma(shape\, scale=1.0\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.gamma.html#cupy.random.gamma"
"cupy.random.geometric","Geometric distribution.","cupy.random.geometric(p\, size=None\, dtype=<class 'int'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.geometric.html#cupy.random.geometric"
"cupy.random.get_random_state","Gets the state of the random number generator for the current device.","cupy.random.get_random_state()","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.get_random_state.html#cupy.random.get_random_state"
"cupy.random.gumbel","Returns an array of samples drawn from a Gumbel distribution.","cupy.random.gumbel(loc=0.0\, scale=1.0\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.gumbel.html#cupy.random.gumbel"
"cupy.random.hypergeometric","hypergeometric distribution.","cupy.random.hypergeometric(ngood\, nbad\, nsample\, size=None\, dtype=<class 'int'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.hypergeometric.html#cupy.random.hypergeometric"
"cupy.random.laplace","Laplace distribution.","cupy.random.laplace(loc=0.0\, scale=1.0\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.laplace.html#cupy.random.laplace"
"cupy.random.logistic","Logistic distribution.","cupy.random.logistic(loc=0.0\, scale=1.0\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.logistic.html#cupy.random.logistic"
"cupy.random.lognormal","Returns an array of samples drawn from a log normal distribution.","cupy.random.lognormal(mean=0.0\, sigma=1.0\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.lognormal.html#cupy.random.lognormal"
"cupy.random.logseries","Log series distribution.","cupy.random.logseries(p\, size=None\, dtype=<class 'int'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.logseries.html#cupy.random.logseries"
"cupy.random.multinomial","Returns an array from multinomial distribution.","cupy.random.multinomial(n\, pvals\, size=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.multinomial.html#cupy.random.multinomial"
"cupy.random.multivariate_normal","(experimental) Multivariate normal distribution.","cupy.random.multivariate_normal(mean\, cov\, size=None\, check_valid='ignore'\, tol=1e-08\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.multivariate_normal.html#cupy.random.multivariate_normal"
"cupy.random.negative_binomial","Negative binomial distribution.","cupy.random.negative_binomial(n\, p\, size=None\, dtype=<class 'int'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.negative_binomial.html#cupy.random.negative_binomial"
"cupy.random.noncentral_chisquare","Noncentral chisquare distribution.","cupy.random.noncentral_chisquare(df\, nonc\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.noncentral_chisquare.html#cupy.random.noncentral_chisquare"
"cupy.random.noncentral_f","Noncentral F distribution.","cupy.random.noncentral_f(dfnum\, dfden\, nonc\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.noncentral_f.html#cupy.random.noncentral_f"
"cupy.random.normal","Returns an array of normally distributed samples.","cupy.random.normal(loc=0.0\, scale=1.0\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.normal.html#cupy.random.normal"
"cupy.random.pareto","Pareto II or Lomax distribution.","cupy.random.pareto(a\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.pareto.html#cupy.random.pareto"
"cupy.random.permutation","Returns a permuted range or a permutation of an array.","cupy.random.permutation(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.permutation.html#cupy.random.permutation"
"cupy.random.poisson","Poisson distribution.","cupy.random.poisson(lam=1.0\, size=None\, dtype=<class 'int'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.poisson.html#cupy.random.poisson"
"cupy.random.power","Power distribution.","cupy.random.power(a\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.power.html#cupy.random.power"
"cupy.random.rand","Returns an array of uniform random values over the interval [0\, 1).","cupy.random.rand(*size\, **kwarg)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.rand.html#cupy.random.rand"
"cupy.random.randint","Returns a scalar or an array of integer values over [low\, high).","cupy.random.randint(low\, high=None\, size=None\, dtype='l')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.randint.html#cupy.random.randint"
"cupy.random.randn","Returns an array of standard normal random values.","cupy.random.randn(*size\, **kwarg)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.randn.html#cupy.random.randn"
"cupy.random.random","Returns an array of random values over the interval [0\, 1).","cupy.random.random(size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.random.html#cupy.random.random"
"cupy.random.random_integers","Return a scalar or an array of integer values over [low\, high]","cupy.random.random_integers(low\, high=None\, size=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.random_integers.html#cupy.random.random_integers"
"cupy.random.random_sample","Returns an array of random values over the interval [0\, 1).","cupy.random.random_sample(size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.random_sample.html#cupy.random.random_sample"
"cupy.random.ranf","Returns an array of random values over the interval [0\, 1).","cupy.random.ranf(size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.ranf.html#cupy.random.ranf"
"cupy.random.rayleigh","Rayleigh distribution.","cupy.random.rayleigh(scale=1.0\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.rayleigh.html#cupy.random.rayleigh"
"cupy.random.sample","Returns an array of random values over the interval [0\, 1).","cupy.random.sample(size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.sample.html#cupy.random.sample"
"cupy.random.seed","Resets the state of the random number generator with a seed.","cupy.random.seed(seed=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.seed.html#cupy.random.seed"
"cupy.random.set_random_state","Sets the state of the random number generator for the current device.","cupy.random.set_random_state(rs)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.set_random_state.html#cupy.random.set_random_state"
"cupy.random.shuffle","Shuffles an array.","cupy.random.shuffle(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.shuffle.html#cupy.random.shuffle"
"cupy.random.standard_cauchy","Standard cauchy distribution.","cupy.random.standard_cauchy(size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.standard_cauchy.html#cupy.random.standard_cauchy"
"cupy.random.standard_exponential","Standard exponential distribution.","cupy.random.standard_exponential(size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.standard_exponential.html#cupy.random.standard_exponential"
"cupy.random.standard_gamma","Standard gamma distribution.","cupy.random.standard_gamma(shape\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.standard_gamma.html#cupy.random.standard_gamma"
